"ID";"First_author";"Published";"Title";"Journal";"Species"
1125;"Silva, C";2009,00;"Involvement of astroglial fibroblast growth factor-2 and microglia in the nigral 6-OHDA parkinsonism and a possible role of glucocorticoid hormone on the glial mediated local trophism and wound repair.";56;"Rat"
1126;"Simkins, TJ";0,00;"Comparison of the D2 receptor regulation and neurotoxicant susceptibility of nigrostriatal dopamine neurons in wild-type and CB1/CB2 receptor knockout mice.";235;"Mouse"
1127;"Smeyne, RJ";0,00;"Assessment of the Effects of MPTP and Paraquat on Dopaminergic Neurons and Microglia in the Substantia Nigra Pars Compacta of C57BL/6 Mice.";13;"Mouse"
1128;"Song, CH";0,00;"Functional analysis of dopaminergic systems in a DYT1 knock-in mouse model of dystonia.";68;"Mouse"
1129;"Srivastava, R";0,00;"Blockade of 1-methyl-4-phenylpyridinium ion (MPP+) nigral toxicity in the rat by prior decortication or MK-801 treatment: a stereological estimate of neuronal loss.";64;"Rat"
1130;"Stayte, S";0,00;"Activin A protects midbrain neurons in the 6-hydroxydopamine mouse model of Parkinson's disease.";13;"Mouse"
1131;"Sun, C";0,00;"Allopregnanolone increases the number of dopaminergic neurons in substantia nigra of a triple transgenic mouse model of Alzheimer's disease.";236;"Mouse"
1132;"Sun, X";0,00;"Harpagoside attenuates MPTP/MPP+ induced dopaminergic neurodegeneration and movement disorder via elevating glial cell line-derived neurotrophic factor.";46;"Mouse"
1133;"Taylor, TN";0,00;"Reduced vesicular storage of catecholamines causes progressive degeneration in the locus ceruleus.";59;"Mouse"
1134;"Temel, Y";0,00;"Protection of nigral cell death by bilateral subthalamic nucleus stimulation.";21;"Rat"
1135;"Thiruchelvam, MJ";0,00;"Risk factors for dopaminergic neuron loss in human alpha-synuclein transgenic mice.";2;"Mouse"
1136;"Tiwari, M";0,00;"A knockout of the caspase 2 gene produces increased resistance of the nigrostriatal dopaminergic pathway to MPTP-induced toxicity.";18;"Mouse"
1137;"van Bregt, DR";0,00;"Substantia nigra vulnerability after a single moderate diffuse brain injury in the rat.";18;"Rat"
1138;"Viaggi, C";0,00;"MPTP-induced model of Parkinson's disease in cytochrome P450 2E1 knockout mice.";59;"Mouse"
1139;"Vidyadhara, DJ";0,00;"Admixing of MPTP-Resistant and Susceptible Mice Strains Augments Nigrostriatal Neuronal Correlates to Resist MPTP-Induced Neurodegeneration.";158;"Mouse"
1140;"Vivacqua, G";0,00;"Loss of spinal motor neurons and alteration of alpha-synuclein immunostaining in MPTP induced Parkinsonism in mice.";14;"Mouse"
1141;"Vu, TQ";0,00;"Pramipexole attenuates the dopaminergic cell loss induced by intraventricular 6-hydroxydopamine.";56;"Rat"
1142;"Wernicke, C";0,00;"9-Methyl-beta-carboline has restorative effects in an animal model of Parkinson's disease.";237;"Rat"
1143;"Winter, C";0,00;"Lesions of dopaminergic neurons in the substantia nigra pars compacta and in the ventral tegmental area enhance depressive-like behavior in rats.";55;"Rat"
1144;"Wright, AK";0,00;"The influence of the subthalamic nucleus upon the damage to the dopamine system following lesions of globus pallidus in rats.";2;"Rat"
1145;"Yin, LH";0,00;"Early post-treatment with 9-cis retinoic acid reduces neurodegeneration of dopaminergic neurons in a rat model of Parkinson's disease.";31;"Rat"
1146;"Zhang, D";0,00;"Neuroprotective effect of protein kinase C delta inhibitor rottlerin in cell culture and animal models of Parkinson's disease.";212;"Mouse"
1147;"Zhang, P";0,00;"Allopregnanolone enhances the neurogenesis of midbrain dopaminergic neurons in APPswe/PSEN1 mice.";11;"Mouse"
1283;"Bizzoco, E";2007,00;"Transient ischemia increases neuronal nitric oxide synthase, argininosuccinate synthetase and argininosuccinate lyase co-expression in rat striatal neurons.";18;"Rat"
1284;"Bloch, B";2003,00;"""In vivo"" intraneuronal trafficking of G protein coupled receptors in the striatum: regulation by dopaminergic and cholinergic environment.";252;"Rodent"
1285;"Block, ER";2015,00;"Brain Region-Specific Trafficking of the Dopamine Transporter.";7;"Mouse"
1286;"Blom, H";2013,00;"Spatial distribution of DARPP-32 in dendritic spines.";13;"Rat"
1287;"Blondeau, N";2007,00;"Distribution of sphingosine kinase activity and mRNA in rodent brain.";46;"Rat"
1288;"Boegman, RJ";1988,00;"The response of striatal neuropeptide Y and cholinergic neurons to excitatory amino acid agonists.";21;"Monkey"
1290;;0,00;;;
1291;"Boehm-Sturm, P";2011,00;"In vivo tracking of human neural stem cells with 19F magnetic resonance imaging.";13;"Mouse"
1293;"Bouyer, JJ";1984,00;"Ultrastructural localization of tyrosine hydroxylase in rat nucleus accumbens.";12;"Rat"
1294;"Brailoiu, GC";2005,00;"KiSS-1 expression and metastin-like immunoreactivity in the rat brain.";12;"Rat"
1295;"Brauer, K";2000,00;"The core-shell dichotomy of nucleus accumbens in the rhesus monkey as revealed by double-immunofluorescence and morphology of cholinergic interneurons.";21;"Monkey"
1296;"Brene, S";1994,00;"Expression of mRNAs encoding dopamine receptors in striatal regions is differentially regulated by midbrain and hippocampal neurons.";21;"Rat"
1297;"Brene, S";1990,00;"Preprotachykinin A mRNA expression in the rat brain during development";21;"Rat"
1298;"Brene, S";1990,00;"Expression of dopamine D2 receptor and choline acetyltransferase mRNA in the dopamine deafferented rat caudate-putamen.";25;
1299;"Brundin, P";1986,00;"Intrastriatal grafting of dopamine-containing neuronal cell suspensions: effects of mixing with target or non-target cells.";21;"Rat"
1300;"Brundin, P";1985,00;"Survival of intracerebrally grafted rat dopamine neurons previously cultured in vitro.";8;"Rat"
1301;"Bu, W";2016,00;"Mild Traumatic Brain Injury Produces Neuron Loss That Can Be Rescued by Modulating Microglial Activation Using a CB2 Receptor Inverse Agonist.";3;"Mouse"
1302;"Burgunder, JM";1988,00;"The distribution of thalamic projection neurons containing cholecystokinin messenger RNA, using in situ hybridization histochemistry and retrograde labeling.";21;"Rat"
1303;"Burke, RE";1994,00;"Acute and persistent suppression of preproenkephalin mRNA expression in the striatum following developmental hypoxic-ischemic injury.";46;"Rat"
1304;"Burke, RE";1994,00;"Demonstration of a medial to lateral gradient in the density of cholinergic neuropil in the rat striatum.";8;"Rat"
1305;"Butler, AK";1999,00;"N-methyl-D-aspartate receptor blockade affects polysialylated neural cell adhesion molecule expression and synaptic density during striatal development.";11;"Rat"
1306;"Butler, AK";1997,00;"Regulation of the polysialylated form of the neural cell adhesion molecule in the developing striatum: effects of cortical lesions.";12;"Rat"
1307;"Buwalda, B";1995,00;"Aldehyde fixation differentially affects distribution of diaphorase activity but not of nitric oxide synthase immunoreactivity in rat brain.";30;"Rat"
1308;"Caberlotto, L";1997,00;"Localization of neuropeptide Y Y1 mRNA in the human brain: abundant expression in cerebral cortex and striatum.";2;"Rat"
1309;"Cagle, MC";2014,00;"Parcellation of cerebellins 1, 2, and 4 among different subpopulations of dorsal horn neurons in mouse spinal cord.";12;"Mouse"
1310;"Calamandrei, G";1997,00;"Neonatal cocaine alters behavioural responsiveness to scopolamine and cholinergic development in mice.";253;"Rat"
1311;"Calka, J";1996,00;"Induction of cytosolic NADPH-diaphorase/nitric oxide synthase in reactive microglia/macrophages after quinolinic acid lesions in the rat striatum: an electron and light microscopical study.";121;"Rat"
1312;"Callaway, JK";2000,00;"A novel, rapid, computerized method for quantitation of neuronal damage in a rat model of stroke.";109;"Rat"
1313;"Campuzano, O";2011,00;"Decreased myeloperoxidase expressing cells in the aged rat brain after excitotoxic damage.";254;"Rat"
1314;"Campuzano, O";2008,00;"Distinct pattern of microglial response, cyclooxygenase-2, and inducible nitric oxide synthase expression in the aged rat brain after excitotoxic damage.";26;"Rat"
1315;"Cantagrel, S";2001,00;"mRNA D(2) dopaminergic receptor expression after hypoxia-ischemia in rat immature brain.";255;"Rat"
1316;"Cao, J";2013,00;"Gestational nicotine exposure modifies myelin gene expression in the brains of adolescent rats with sex differences.";256;"Rat"
1317;"Capani, F";2001,00;"Selective localization of high concentrations of F-actin in subpopulations of dendritic spines in rat central nervous system: a three-dimensional electron microscopic study.";12;"Rat"
1318;"Capani, F";1997,00;"Ultrastructural changes in nitric oxide synthase immunoreactivity in the brain of rats subjected to perinatal asphyxia: neuroprotective effects of cold treatment.";21;"Rat"
1319;"Card, JP";1999,00;"Neuroinvasiveness of pseudorabies virus injected intracerebrally is dependent on viral concentration and terminal field density.";12;"Rat"
1320;"Cardoso, AL";2008,00;"Tf-lipoplexes for neuronal siRNA delivery: a promising system to mediate gene silencing in the CNS.";211;"Mouse"
1321;"Carpenter, MK";1997,00;"Generation and transplantation of EGF-responsive neural stem cells derived from GFAP-hNGF transgenic mice.";18;"Rat"
1322;"Caserta, MT";1994,00;"Neuropeptide Y immunoreactive neurons in murine trisomy 16 cortical cultures. Plasticity of expression and differentiation.";257;"Mouse"
1323;"Casini, A";2011,00;"Choline acetyltransferase of the common type immunoreactivity in the rat brain following different heroin treatments: a pilot study.";14;"Rat"
1324;"Castelli, MP";2013,00;"Regional distribution of 5alpha-reductase type 2 in the adult rat brain: an immunohistochemical analysis.";258;"Mouse"
1325;"Castillo, L";2000,00;"[Epidermal growth factor-responsive precursors with similar properties isolated from embryonic rat septum and striatum]. [Spanish]";259;
1326;"Casu, MA";2004,00;"Immunocytochemical study of the forebrain serotonergic innervation in Sardinian alcohol-preferring rats.";93;"Rat"
1327;"Cattano, D";2008,00;"Potential of xenon to induce or to protect against neuroapoptosis in the developing mouse brain.";260;"Mouse"
1328;"Cearly, CN";2008,00;"Expanded repertoire of AAV vector serotypes mediate unique patterns of transduction in mouse brain.";261;"Mouse"
1329;"Cebral, E";2006,00;"Neostriatal cytoskeleton changes following perinatal asphyxia: effect of hypothermia treatment.";61;"Rat"
1330;"Cenci, MA";1993,00;"Neuropeptide messenger RNA expression in the 6-hydroxydopamine-lesioned rat striatum reinnervated by fetal dopaminergic transplants: differential effects of the grafts on preproenkephalin, preprotachykinin and prodynorphin messenger RNA levels.";11;"Rat"
1331;"Cenci, MA";1992,00;"Dopaminergic transplants normalize amphetamine- and apomorphine-induced Fos expression in the 6-hydroxydopamine-lesioned striatum.";11;"Rat"
1332;"Centini, C";2007,00;"Sleep research in space: expression of immediate early genes in forebrain structures of rats during the nasa neurolab mission (STS-90).";95;
1333;"Chakraborty, J";2014,00;"Profilin-2 increased expression and its altered interaction with beta-actin in the striatum of 3-nitropropionic acid-induced Huntington's disease in rats.";11;"Rat"
1334;"Chakravarthy, S";2008,00;"Cre-dependent expression of multiple transgenes in isolated neurons of the adult forebrain.";13;"Mouse"
1335;"Chalmers, DT";1991,00;"Comparative anatomical distribution of 5-HT1A receptor mRNA and 5-HT1A binding in rat brain--a combined in situ hybridisation/in vitro receptor autoradiographic study.";21;"Rat"
1336;"Chang, HT";1988,00;"Dopamine-acetylcholine interaction in the rat striatum: a dual-labeling immunocytochemical study.";30;"Rat"
1337;"Chang, HT";1981,00;"Single neostriatal efferent axons in the globus pallidus: a light and electron microscopic study.";262;"Rat"
1338;"Chang, SL";1990,00;"The fos proto-oncogene protein: regulation by morphine in the rat hypothalamus.";263;"Rat"
1339;"Chao, HM";1990,00;"Glucocorticoid regulation of preproenkephalin messenger ribonucleic acid in the rat striatum.";166;"Rat"
1340;"Chaturvedi, RK";2003,00;"Effect of glial cell line-derived neurotrophic factor (GDNF) co-transplantation with fetal ventral mesencephalic cells (VMC) on functional restoration in 6-hydroxydopamine (6-OHDA) lesioned rat model of Parkinson's disease";76;"Rat"
1341;"Chen, L";2014,00;"The role of exogenous neural stem cells transplantation in cerebral ischemic stroke";264;"Rat"
1343;"Chen, Q";1996,00;"Cellular distribution of the NMDA receptor NR2A/2B subunits in the rat striatum.";21;"Rat"
1344;"Chen, ST";1988,00;"Distribution of neurotensin-like immunoreactivity in the central nervous system of the Formosan monkey.";265;
1345;"Chen, ST";1990,00;"Ontogeny of the FMRFamide-immunoreactivity in the rat forebrain and diencephalon.";265;"Rat"
1346;"Cheng, HW";1994,00;"Response of striatal astrocytes to neuronal deafferentation: an immunocytochemical and ultrastructural study.";11;"Rat"
1347;"Cheng, X";2011,00;"Acidic fibroblast growth factor delivered intranasally induces neurogenesis and angiogenesis in rats after ischemic stroke.";40;"Rat"
1348;"Chesselet, MF";1989,00;"Regional differences in substance P-like immunoreactivity in the striatum correlate with levels of pre-protachykinin mRNA.";8;"Rat"
1349;"Chiusaroli, R";2010,00;"Antipsychotic-like effects of the N-methyl-D-aspartate receptor modulator neboglamine: an immunohistochemical and behavioural study in the rat.";163;"Rat"
1350;"Cho, SI";2012,00;"Extremely low-frequency magnetic fields modulate nitric oxide signaling in rat brain.";266;"Rat"
1351;"Choi, HK";1993,00;"Dopaminergic neurons grown in three-dimensional reaggregate culture for periods of up to one year.";109;
1352;"Choi, WS";1993,00;"Immunocytochemical localization of dopamine-releasing protein in the rat adrenal.";89;"Rat"
1353;"Cholanians, AB";2016,00;"From the Cover: Arsenic Induces Accumulation of alpha-Synuclein: Implications for Synucleinopathies and Neurodegeneration.";145;"Mouse"
1354;"Chung, YH";2002,00;"Enhanced expression of p53 in reactive astrocytes following transient focal ischemia.";40;"Rat"
1355;"Clapp-Lilly, KL";1999,00;"An ultrastructural analysis of tissue surrounding a microdialysis probe.";109;
1356;"Clarke, DJ";1990,00;"Synaptic connections formed by grafts of different types of cholinergic neurons in the host hippocampus.";18;"Rat"
1357;"Clarner, T";2014,00;"Astroglial redistribution of aquaporin 4 during spongy degeneration in a Canavan disease mouse model.";79;"Mouse"
1358;"Clemett, DA";2000,00;"Immunohistochemical localisation of the 5-HT2C receptor protein in the rat CNS.";59;"Rat"
1359;;0,00;;;
1360;"Cole, RL";2005,00;"Differential distribution of voltage-gated calcium channel alpha-2 delta (alpha2delta) subunit mRNA-containing cells in the rat central nervous system and the dorsal root ganglia.";12;"Rat"
1361;"Collin, T";2005,00;"Quantitative analysis of the generation of different striatal neuronal subtypes in the adult brain following excitotoxic injury.";18;"Rat"
1362;"Colombo, JA";1996,00;"Regional differences in in vitro growth of neural cell processes during development.";76;"Rat"
1363;"Comin, D";2010,00;"Vitamin E improves learning performance and changes the expression of nitric oxide-producing neurons in the brains of diabetic rats.";55;"Rat"
1364;"Commons, KF";2009,00;"Coincidence of neurokinin 1 receptor with the vesicular glutamate transporter 3 (VGLUT3) in the rat forebrain.";8;"Rat"
1365;"Conner, JM";1992,00;"Distribution of nerve growth factor-like immunoreactive neurons in the adult rat brain following colchicine treatment.";12;"Rat"
1366;"Cork, RJ";1998,00;"A web-accessible digital atlas of the distribution of nitric oxide synthase in the mouse brain.";267;"Mouse"
1367;"Costatini, LC";1999,00;"Gene transfer to the nigrostriatal system by hybrid herpes simplex virus/adeno-associated virus amplicon vectors";81;"Rat"
1368;"Cowan, RL";1990,00;"Parvalbumin-containing GABAergic interneurons in the rat neostriatum.";12;"Rat"
1369;"Craig, CG";1996,00;"In vivo growth factor expansion of endogenous subependymal neural precursor cell populations in the adult mouse brain.";7;"Mouse"
1370;"Curras-Collazo, MC";2002,00;"Reduced susceptibility of magnocellular neuroendocrine nuclei of the rat hypothalamus to transient focal ischemia produced by middle cerebral artery occlusion.";18;"Rat"
1371;"Cuzon Carlson, CV";2011,00;"Subsets of Spiny Striosomal Striatal Neurons Revealed in the Gad1-GFP BAC Transgenic Mouse.";32;
1372;"d'Amora, M";2010,00;"Expression pattern of mUBPy in the brain and sensory organs of mouse during embryonic development.";21;
1373;"Daberkow, DP";2007,00;"Arc mRNA induction in striatal efferent neurons associated with response learning.";2;"Rat"
1374;"Dal Toso, R";1988,00;"Development and survival of neurons in dissociated fetal mesencephalic serum-free cell cultures: I. Effects of cell density and of an adult mammalian striatal-derived neuronotrophic factor (SDNF).";7;"Mouse"
1375;"Dalia, A";1988,00;"Development and survival of neurons in dissociated fetal mesencephalic serum-free cell cultures: I. Effects of cell density and of an adult mammalian striatal-derived neuronotrophic factor (SDNF).";7;"Rat"
1376;"Dall, AM";2002,00;"Quantitative [18F]fluorodopa/PET and histology of fetal mesencephalic dopaminergic grafts to the striatum of MPTP-poisoned minipigs.";88;"Minipig"
1377;"Danger, JM";1990,00;"Neuropeptide Y: localization in the central nervous system and neuroendocrine functions";268;
1378;"Danielisova, V";2004,00;"The effect of preconditioning on the iron deposition after transient forebrain ischemia in rat brain.";95;"Rat"
1379;"Danilov, AI";2012,00;"Ectopic ependymal cells in striatum accompany neurogenesis in a rat model of stroke.";11;"Rat"
1380;"Darsalia, V";2007,00;"Survival, migration and neuronal differentiation of human fetal striatal and cortical neural stem cells grafted in stroke-damaged rat striatum.";2;"Rat"
1381;"Darsalia, V";2005,00;"Stroke-induced neurogenesis in aged brain.";269;"Rat"
1382;"Date, I";1996,00;"Cografting with polymer-encapsulated human nerve growth factor-secreting cells and chromaffin cell survival and behavioral recovery in hemiparkinsonian rats.";137;"Rat"
1383;"Date, I";1994,00;"Increased nerve growth factor level in the distal stump of transected sciatic nerve in relation to aging and its application for neural grafting.";18;"Mouse"
1384;;0,00;;;
1385;"Dauth, S";2011,00;"Cathepsin K deficiency in mice induces structural and metabolic changes in the central nervous system that are associated with learning and memory deficits.";31;"Mouse"
1386;"Davoli, MA";2002,00;"Immunohistochemical and biochemical assessment of caspase-3 activation and DNA fragmentation following transient focal ischemia in the rat.";11;"Rat"
1387;"de Quidt, ME";1986,00;"Distribution of neuropeptide Y-like immunoreactivity in the rat central nervous system--II. Immunohistochemical analysis.";11;"Rat"
1388;"Deacon, T";1998,00;"Blastula-stage stem cells can differentiate into dopaminergic and serotonergic neurons after transplantation.";18;"Rodent"
1389;"Dejneka, NS";1997,00;"Localization and characterization of stannin: relationship to cellular sensitivity to organotin compounds.";86;"Rat"
1390;"Del Moral, ML";2004,00;"Immunohistochemistry of neuronal nitric oxide synthase and protein nitration in the striatum of the aged rat.";10;"Rat"
1391;"Del Rio, JA";1992,00;"Development of GABA-immunoreactivity in the neocortex of the mouse.";12;"Mouse"
1392;"Deng, X";2013,00;"Co-transplantation of GDNF-overexpressing neural stem cells and fetal dopaminergic neurons mitigates motor symptoms in a rat model of Parkinson's disease.";13;"Rat"
1393;"Depboylu, C";2014,00;"Transcriptional and structural plasticity of tyrosine hydroxylase expressing neurons in both striatum and nucleus accumbens following dopaminergic denervation.";14;
1394;"Derer, P";1993,00;"Ontogenesis of NADPH-diaphorase neurons in the mouse forebrain.";8;"Mouse"
1395;"Descarries, L";1997,00;"Diffuse transmission by acetylcholine in the CNS";270;
1396;"Diaz-Perez, RN";2016,00;"Histopathological alterations in the striatum caused by Karwinskia humboldtiana (Buckthorn) fruit in an experimental model of peripheral neuropathy.";74;"Rat"
1397;"Diaz-Ruiz, O";2012,00;"Attenuated response to methamphetamine sensitization and deficits in motor learning and memory after selective deletion of beta-catenin in dopamine neurons.";271;"Mouse"
1398;"Dietrich, WD";1992,00;"Intraventricular infusion of N-methyl-D-aspartate. 2. Acute neuronal consequences.";63;"Rat"
1399;"Dietrich, WD";1991,00;"Interrelationships between increased vascular permeability and acute neuronal damage following temperature-controlled brain ischemia in rats.";63;"Rat"
1400;"DiFiglia, M";1988,00;"Neuronal organization of fetal striatal grafts in kainate- and sham-lesioned rat caudate nucleus: light- and electron-microscopic observations.";7;"Rat"
1401;"DiFiglia, M";1987,00;"Cytochrome oxidase activity in the rat caudate nucleus: light and electron microscopic observations.";12;"Rat"
1402;"Diguet, W";2009,00;"Normal aging modulates the neurotoxicity of mutant huntingtin.";13;"Rat"
1403;"Ding, JD";2004,00;"Distribution of soluble guanylyl cyclase in the rat brain.";12;"Rat"
1404;"Ding, M";2000,00;"Quantitative immunochemistry on neuronal loss, reactive gliosis and BBB damage in cortex/striatum and hippocampus/amygdala after systemic kainic acid administration.";86;"Rat"
1405;"Dinopoulos, A";1995,00;"The development of the serotonergic fiber network of the lateral ventricles of the rat brain: a light and electron microscopic immunocytochemical analysis.";18;"Rat"
1406;"Dinopolous, A";1989,00;"Neurochemical heterogeneity among corticofugal and callosal projections.";18;"Rat"
1407;"Dobrossy, MD";2008,00;"Environmental housing and duration of exposure affect striatal graft morphology in a rodent model of Huntington's disease.";88;"Rat"
1408;"Domaradzka-Pytel, B";2000,00;"Immunohistochemical study of microglial and astroglial cells during postnatal development of rat striatum.";272;"Rat"
1409;"Dong, X";2012,00;"Adenovirus vector-based in vitro neuronal cell model for Huntington's disease with human disease-like differential aggregation and degeneration.";273;"Mouse"
1410;"Dori, A";2000,00;"Striatal matrix neurons of the rat differentiate in culture from dissociated fetal progenitor cells isolated by buoyant density centrifugation.";8;"Rat"
1411;"Dos-Santos, M";2018,00;"Cocaine increases dopaminergic connectivity in the nucleus accumbens.";22;
1412;"Doucet, G";1990,00;"Effect of Prior Dopamine Denervation on Survival and Fiber Outgrowth from Intrastriatal Fetal Mesencephalic Grafts.";2;"Rat"
1413;"Du, XX";2012,00;"Curcumin protects nigral dopaminergic neurons by iron-chelation in the 6-hydroxydopamine rat model of Parkinson's disease.";220;"Rat"
1414;"Duan, WM";2000,00;"Enhancement of nigral graft survival in rat brain with the systemic administration of synthetic fibronectin peptide V.";11;"Rat"
1415;"Duan, WM";1997,00;"Addition of allogeneic spleen cells causes rejection of intrastriatal embryonic mesencephalic allografts in the rat.";11;"Rat"
1416;"Duan, WM";1993,00;"Sequential intrastriatal grafting of allogeneic embryonic dopamine-rich neuronal tissue in adult rats: will the second graft be rejected?.";11;"Rat"
1417;"Dube, L";1988,00;"Identification of synaptic terminals of thalamic or cortical origin in contact with distinct medium-size spiny neurons in the rat neostriatum.";12;"Rat"
1418;"Dumartin, B";1998,00;"Internalization of D1 dopamine receptor in striatal neurons in vivo as evidence of activation by dopamine agonists.";7;"Rat"
1419;"Echeverry, MB";2004,00;"Acute and delayed restraint stress-induced changes in nitric oxide producing neurons in limbic regions.";11;"Rat"
1420;"Edvinsson, L";2011,00;"Cerebellar distribution of calcitonin gene-related peptide (CGRP) and its receptor components calcitonin receptor-like receptor (CLR) and receptor activity modifying protein 1 (RAMP1) in rat.";106;"Rat"
1421;"Ejaz, S";2015,00;"Cortical selective neuronal loss, impaired behavior, and normal magnetic resonance imaging in a new rat model of true transient ischemic attacks.";269;"Rat"
1422;"El Massri, N";2017,00;"Photobiomodulation-induced changes in a monkey model of Parkinson's disease: changes in tyrosine hydroxylase cells and GDNF expression in the striatum.";25;"Rodent"
1423;"El-Sokkary, GH";2003,00;"Prophylactic effect of melatonin in reducing lead-induced neurotoxicity in the rat.";274;
1424;"Emerich, DF";2006,00;"Extensive neuroprotection by choroid plexus transplants in excitotoxin lesioned monkeys.";68;"Monkey"
1425;"Emgard, M";1999,00;"Patterns of cell death and dopaminergic neuron survival in intrastriatal nigral grafts.";18;"Rat"
1426;"Engels, J";2017,00;"Sildenafil Enhances Quantity of Immature Neurons and Promotes Functional Recovery in the Developing Ischemic Mouse Brain.";91;"Rat"
1427;"Eriksdotter-Nilsson, M";1986,00;"Astroglial development in microencephalic rat brain after fetal methylazoxymethanol treatment.";76;"Rat"
1428;"Eriksson, C";2003,00;"Neuronal differentiation following transplantation of expanded mouse neurosphere cultures derived from different embryonic forebrain regions.";18;"Rat"
1429;"Etehadi Moghadam, S";2018,00;"Neuroprotective Effects of Oxytocin Hormone after an Experimental Stroke Model and the Possible Role of Calpain-1.";275;"Rat"
1430;"Eto, R";2010,00;"Alterations of interneurons in the striatum and frontal cortex of mice during postnatal development.";76;"Mouse"
1431;"Fa, YH";2016,00;"Evaluation of the early response and mechanism of treatment of Parkinson's disease with L-dopa using 18F-fallypride micro-positron emission tomography scanning.";183;"Mouse"
1432;"Fachinetti, P";2003,00;"Ontogeny, regional and cellular distribution of the novel metalloprotease neprilysin 2 in the rat: a comparison with neprilysin and endothelin-converting enzyme-1.";11;"Rat"
1433;"Fagan, AM";1998,00;"Evidence for normal aging of the septo-hippocampal cholinergic system in apoE (-/-) mice but impaired clearance of axonal degeneration products following injury.";18;"Mouse"
1434;"Fauchey, V";2000,00;"Differential regulation of the dopamine D1, D2 and D3 receptor gene expression and changes in the phenotype of the striatal neurons in mice lacking the dopamine transporter.";2;"Mouse"
1435;"Feger, J";1994,00;"The projections from the parafascicular thalamic nucleus to the subthalamic nucleus and the striatum arise from separate neuronal populations";11;"Rat"
1436;"Feng, Z";2016,00;;;
1437;"Fernandez, CI";2004,00;"Motor and cognitive recovery induced by bone marrow stem cells grafted to striatum and hippocampus of impaired aged rats: functional and therapeutic considerations.";128;"Rat"
1438;"Ferraguti, F";1998,00;"Immunohistochemical localization of the mGluR1beta metabotropic glutamate receptor in the adult rodent forebrain: evidence for a differential distribution of mGluR1 splice variants.";12;"Rat"
1439;"Ferrer, I";1995,00;"Both apoptosis and necrosis occur following intrastriatal administration of excitotoxins.";63;"Rat"
1440;"Ferrer, I";1995,00;"Evidence of internucleosomal DNA fragmentation and identification of dying cells in X-ray-induced cell death in the developing brain.";76;"Rat"
1441;"Finkelstein, DI";1996,00;"An electron microscopic tracer study of the projections from entopeduncular nucleus to the ventrolateral nucleus of the rat.";8;"Rat"
1442;"Finley, JC";1978,00;"Somatostatin-containing neurons in the rat brain: widespread distribution revealed by immunocytochemistry after pretreatment with pronase.";276;"Rat"
1443;"Fischer, W";1992,00;"Progressive decline in spatial learning and integrity of forebrain cholinergic neurons in rats during aging.";64;"Rat"
1444;"Fischer, W";1991,00;"NGF improves spatial memory in aged rodents as a function of age.";7;"Rat"
1445;"Fiszman, ML";1993,00;"GABAergic cells and signals appear together in the early post-mitotic period of telencephalic and striatal development.";21;"Rat"
1446;"Fitzpatrick, E";2005,00;"Differential survival patterns among midbrain dopaminergic cells of MPTP-treated monkeys and 6OHDA-lesioned rats.";117;"Rat"
1447;"Floeter, MK";1985,00;"Transplantation of fetal postmitotic neurons to rat cortex: survival, early pathway choices and long-term projections of outgrowing axons.";21;"Rat"
1448;"Fogarty, MJ";2017,00;"Motor Areas Show Altered Dendritic Structure in an Amyotrophic Lateral Sclerosis Mouse Model.";3;"Mouse"
1449;"Follesa, P";1999,00;"Changes in the gene expression of GABAA receptor subunit mRNAs in the septum of rats subjected to pentylenetetrazol-induced kindling.";21;"Rat"
1450;"Forloni, GL";1992,00;"Chronic infusion of quinolinic acid in rat striatum: effects on discrete neuronal populations.";72;"Rat"
1451;"Foster, GA";1984,00;"Immunohistochemical analysis of the ontogeny of neuropeptide Y immunoreactive neurons in foetal rat brain.";76;"Rat"
1452;"Foster, GA";1988,00;"Transmitter expression and morphological development of embryonic medullary and mesencephalic raphe neurones after transplantation to the adult rat central nervous system. III. Grafts to the striatum.";25;"Rat"
1453;"Fox, IJ";2005,00;"Developmental profile of ErbB receptors in murine central nervous system: implications for functional interactions.";26;"Mouse"
1454;"Franco, I";2006,00;"Chronic toluene exposure induces cell proliferation in the mice SVZ but not migration through the RMS.";8;"Mouse"
1455;"Frederickson, CJ";1992,00;"Distribution of histochemically reactive zinc in the forebrain of the rat.";14;"Rat"
1456;"Freed, WJ";1986,00;"Properties of PC12 pheochromocytoma cells transplanted to the adult rat brain.";25;"Rat"
1457;"Fujioka, M";2003,00;"Magnetic resonance imaging shows delayed ischemic striatal neurodegeneration";104;"Rat"
1458;"Fujita, T";1988,00;"[Postnatal cell proliferation in the rat cerebrum: immunohistochemical study with bromodeoxyuridine (BrdU)]. [Japanese]";;"Rat"
1459;"Fujiyama, F";0,00;;;
1460;"Fukaya, M";2008,00;"Predominant expression of phospholipase Cbeta1 in telencephalic principal neurons and cerebellar interneurons, and its close association with related signaling molecules in somatodendritic neuronal elements.";2;"Mouse"
1461;"Fukui, K";1989,00;"Selective reduction of serotonin immunoreactivity in some forebrain regions of rats induced by acute methamphetamine treatment; quantitative morphometric analysis by serotonin immunocytochemistry.";21;"Rat"
1462;"Fumero, B";1994,00;"Fixed versus removable microdialysis probes for in vivo neurochemical analysis: implications for behavioral studies.";46;"Rat"
